Timestamp,Name (Optional),Age,Gender,Level of Study,Field of Study,Year of Study,Do you feel that the technical courses in your curriculum are aligned with real-world industry needs?,Do you feel some courses have no practical use in the industry?,How relevant are the skills taught in your current courses?,Are you able to apply the technical skills you've learned in college to real-world projects?,Which programming languages have you learned in your academic curriculum?,Do you feel confident using the programming languages for industry-relevant tasks?,"How often are you given practical, hands-on assignments in your technical courses?",Which technical subjects do you find most difficult to understand?,What challenges do you face when trying to apply theoretical concepts to real-world tasks?,How do you overcome the difficulties in understanding technical subjects?,How confident are you in your ability to apply academic knowledge to an industry job?,Have you completed any internships or part-time jobs related to your field of study?,How relevant was your internship experience to the technical subjects you've learned in college?,Are you satisfied with the amount of project-based learning or practical exposure in your current academic program?,Do you feel you need more skills to be industry-ready upon graduation?,What kind of resources would you prefer to bridge the gap between academic learning and industry readiness?,How do you prefer to learn new skills outside of the classroom?,Do you feel the current curriculum is preparing you for industry requirements?,Would you recommend changes to the curriculum?,Career Goal
,,19,Non-binary,Undergraduate,Electrical Engineering,1st year,Somewhat,Somewhat,4,Yes,Python,2,Sometimes,Thermodynamics,Lack of practical exposure,Extra classes,5,Yes,5,1,No,Online courses,Bootcamps,4,Yes,Electronics Engineer
,,20,Non-binary,Doctoral,IT,3rd year,No,Yes,3,No,C++,2,Often,Thermodynamics,Lack of practical exposure,Group studies,3,No,5,4,No,Workshops,Online tutorials,4,Not sure,Software Developer
,,25,Non-binary,Undergraduate,Computer Science,4th year,Yes,Yes,2,Yes,JavaScript,2,Rarely,Fluid Mechanics,Insufficient resources,Extra classes,2,No,5,4,Yes,Workshops,Bootcamps,2,Yes,Software Developer
,,25,Non-binary,Doctoral,Electrical Engineering,1st year,Yes,No,1,Yes,Python,2,Sometimes,Algorithms,Lack of practical exposure,Group studies,5,No,1,3,Somewhat,Mentorship,Peer learning,4,Not sure,Electronics Engineer
,,25,Male,Postgraduate,Mechanical Engineering,2nd year,Yes,Somewhat,5,Somewhat,Python,2,Sometimes,Thermodynamics,Time constraints,Extra classes,2,Yes,5,4,Yes,Mentorship,Peer learning,3,Yes,Mechanical Engineer
,,20,Male,Undergraduate,Civil Engineering,4th year,Somewhat,No,3,Yes,Python,5,Always,Fluid Mechanics,Lack of practical exposure,Extra classes,5,No,4,4,Somewhat,Mentorship,Bootcamps,3,No,Civil Engineer
,,21,Non-binary,Doctoral,Electronics,2nd year,No,Somewhat,5,Somewhat,C++,4,Always,Algorithms,Time constraints,Practical experiments,1,No,1,5,Somewhat,Bootcamps,Bootcamps,2,No,Electronics Engineer
,,25,Female,Undergraduate,Electronics,1st year,Yes,No,5,No,JavaScript,4,Sometimes,Thermodynamics,Lack of practical exposure,Practical experiments,3,Yes,4,4,No,Bootcamps,Peer learning,5,Not sure,Electronics Engineer
,,25,Non-binary,Undergraduate,Civil Engineering,3rd year,Yes,Somewhat,4,No,SQL,5,Rarely,Data Structures,Insufficient resources,Extra classes,2,No,2,1,Somewhat,Workshops,Bootcamps,1,Yes,Civil Engineer
,,19,Non-binary,Postgraduate,Mechanical Engineering,4th year,Somewhat,No,1,No,JavaScript,4,Often,Fluid Mechanics,Insufficient resources,Practical experiments,3,Yes,2,4,Yes,Online courses,Bootcamps,5,No,Mechanical Engineer
,,21,Male,Undergraduate,Mechanical Engineering,3rd year,Somewhat,Somewhat,3,No,JavaScript,5,Always,Algorithms,Insufficient resources,Extra classes,2,No,4,4,No,Mentorship,Bootcamps,4,No,Mechanical Engineer
